Date,Open,High,Low,Close,Volume,SMA(7) 
2005-02-25,5.575,5.679,5.575,5.65,2277600,5.65
2005-02-28,5.711,5.819,5.65,5.689,1106400,5.6695
2005-03-01,5.666,5.714,5.614,5.709,1268000,5.682666666666667
2005-03-02,5.7125,5.7375,5.6925,5.694,1143200,5.6855
2005-03-03,5.7,5.731,5.696,5.719,1389600,5.692200000000001
2005-03-04,5.7425,5.806,5.7125,5.806,904000,5.711166666666667
2005-03-07,5.821,5.9075,5.801,5.876,1362400,5.734714285714285
2005-03-08,5.866,5.869,5.8125,5.839,1216800,5.761714285714286
2005-03-09,5.819,5.859,5.769,5.77,1338400,5.773285714285714
2005-03-10,5.744,5.7575,5.515,5.58,2043200,5.754857142857142
2005-03-11,5.6,5.6875,5.5825,5.644,2573600,5.7477142857142836
2005-03-14,5.671,5.735,5.6575,5.731,1173600,5.749428571428569
2005-03-15,5.7625,5.8125,5.681,5.75,947200,5.74142857142857
2005-03-16,5.7325,5.74,5.6875,5.711,1006400,5.717857142857142
2005-03-17,5.7,5.7,5.45,5.564,3144000,5.678571428571428
2005-03-18,5.719,5.725,5.594,5.616,1294400,5.656571428571427
2005-03-21,5.586,5.665,5.5275,5.579,611200,5.65642857142857
2005-03-22,5.575,5.75,5.575,5.679,961600,5.661428571428571
2005-03-23,5.629,5.629,5.51,5.525,719200,5.631999999999999
2005-03-24,5.55,5.569,5.509,5.546,1337600,5.602857142857141
2005-03-28,5.546,5.714,5.5,5.6825,1603200,5.598785714285713
2005-03-29,5.675,5.7,5.521,5.525,1467200,5.593214285714284
2005-03-30,5.5125,5.61,5.475,5.526,790400,5.580357142857141
2005-03-31,5.5,5.62,5.481,5.551,633600,5.576357142857141
2005-04-01,5.5625,5.635,5.466,5.534,676800,5.555642857142855
2005-04-04,5.5275,5.5725,5.501,5.535,799200,5.557071428571427
2005-04-05,5.539,5.549,5.5,5.501,776800,5.550642857142855
2005-04-06,5.56,5.5925,5.5,5.524,478400,5.527999999999999
2005-04-07,5.5125,5.5775,5.5,5.5775,624800,5.535499999999999
